Route,Start Loading,Selesai loading
Siborong - Borong DC > Barumun Hub - Lubuk Barumun Hub - Barumun Selatan Hub,23:40,00:20
Siborong - Borong DC > Pahae Julu Hub - Padang Bolak Hub - Sosa 2 Hub,23:47,00:27
Siborong - Borong DC > Ulu Barumun Hub - Sosa Hub - Huta Raja Tinggi Hub,00:36,01:16
Siborong - Borong DC > Tampahan Hub - Balige Hub - Habinsaran Hub,00:50,01:30
Siborong - Borong DC > Sipirok Hub - Padang Sidempuan Hub - Padang Sidempuan Tenggara Hub - Angkola Selatan Hub,01:20,02:00
Siborong - Borong DC > Pandan Hub - Sibabangun Hub - Muara Batang Toru Hub,01:55,02:35
Siborong - Borong DC > Tapian Nauli Hub - Sorkam Hub - Pinang Sori Hub,02:28,03:08
Siborong - Borong DC > Angkola Barat Hub - Padang Sidempuan Selatan Hub - Padang Sidempuan Batunadua Hub,03:25,04:05
Siborong - Borong DC > Pahae Jae Hub - Sayur Matinggi Hub - Siabu Hub,03:50,04:30
Siborong - Borong DC > Barus Hub - Sirandorung Hub,03:54,04:34
Siborong - Borong DC > Sipirok Hub - Padang Sidempuan Hub - Padang Sidempuan Tenggara Hub - Angkola Selatan Hub,03:54,04:34
Siborong - Borong DC > Siborong - Borong Hub - Lintong Nihuta Hub - Palipi Hub,04:20,05:00
Siborong - Borong DC > Pangururan Hub - Simanindo Hub,06:38,07:18
Siborong - Borong DC > Laguboti Hub - Siantar Narumonda Hub - Porsea Hub - Lumban Julu Hub,06:41,07:21
Siborong - Borong DC > Sipoholon Hub - Tarutung Hub - Adian Koting Hub,08:20,09:00
Siborong - Borong DC > Dolok Sanggul Hub - Pollung Hub,08:54,09:34
Siborong - Borong DC > Batahan Hub - Natal Hub - Muara Batang Gadis Hub,11:20,12:00
Siborong - Borong DC > Batang Natal Hub - Ranto Baek Baik Hub - Sinunukan Hub,13:20,14:00
Siborong - Borong DC > Saipar Dolok Hub - Panyabungan Hub - Muara Sipongi Hub,13:54,14:34
Siborong - Borong DC > Tampahan Hub - Balige Hub - Habinsaran Hub,17:40,18:20
Siborong - Borong DC > Pangururan Hub - Simanindo Hub,18:15,18:55
Siborong - Borong DC > Barumun Tengah Hub - Huristak Hub - Simangambat Hub,18:20,19:00
Siborong - Borong DC > Batahan Hub - Natal Hub - Muara Batang Gadis Hub,18:20,19:00
Siborong - Borong DC > Pahae Julu Hub - Padang Bolak Hub - Sosa 2 Hub,18:20,19:00
Siborong - Borong DC > Pandan Hub - Sibabangun Hub - Muara Batang Toru Hub,18:20,19:00
Siborong - Borong DC > Ulu Barumun Hub - Sosa Hub - Huta Raja Tinggi Hub,18:20,19:00
Siborong - Borong DC > Barumun Hub - Lubuk Barumun Hub - Barumun Selatan Hub,18:20,19:00
Siborong - Borong DC > Sipirok Hub - Padang Sidempuan Hub - Padang Sidempuan Tenggara Hub - Angkola Selatan Hub,19:05,19:45
Siborong - Borong DC > Parlilitan Hub - Pakkat Hub - Pasaribu Tobing Hub,19:20,20:00
Siborong - Borong DC > Saipar Dolok Hub - Panyabungan Hub - Muara Sipongi Hub,19:20,20:00
Siborong - Borong DC > Tapian Nauli Hub - Sorkam Hub - Pinang Sori Hub,19:20,20:00
Siborong - Borong DC > Sipoholon Hub - Tarutung Hub - Adian Koting Hub,19:45,20:25
Siborong - Borong DC > Pahae Jae Hub - Sayur Matinggi Hub - Siabu Hub,19:50,20:30
Siborong - Borong DC > Angkola Barat Hub - Padang Sidempuan Selatan Hub - Padang Sidempuan Batunadua Hub,20:10,20:50
Siborong - Borong DC > Laguboti Hub - Siantar Narumonda Hub - Porsea Hub - Lumban Julu Hub,20:41,21:21
Siborong - Borong DC > Batang Natal Hub - Ranto Baek Baik Hub - Sinunukan Hub,20:54,21:34
Siborong - Borong DC > Batang Toru Hub - Batang Toru 3 Hub,21:01,21:41
Siborong - Borong DC > Barus Hub - Sirandorung Hub,21:20,22:00
Siborong - Borong DC > Sipahutar Hub - Pangaribuan Hub - Garoga Hub,21:20,22:00
Siborong - Borong DC > Angkola Timur Hub - Halongonan Hub,21:20,22:00
Siborong - Borong DC > Saipar Dolok Hub - Panyabungan Hub - Muara Sipongi Hub,21:50,22:30
Siborong - Borong DC > Pandan Hub - Sibabangun Hub - Muara Batang Toru Hub,22:26,23:05
Siborong - Borong DC > Siborong - Borong Hub - Lintong Nihuta Hub - Palipi Hub,22:40,23:20
Siborong - Borong DC > Dolok Sanggul Hub - Pollung Hub,23:05,23:45
